jurisdiction,year,quarter,num_inmate_are_3rd_striker,num_inmate_are_2nd_striker,num_unserved_felony_warrants,num_unserved_misdemean_warrants,percent_inmates_illegal_alien,num_inmate_assaults_on_staff,money_spent_medication_last_qtr,money_spent_psych_med_last_qtr,avg_length_stay_all_releases,avg_length_stay_pretrial_release,avg_length_stay_sentnced_release,census_county_name,fips_state_code,fips_county_code,fips_state_county_code
Butte Sheriff's Department,2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2009,1,NA,NA,NA,NA,1,0,9184,7419,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2009,1,0,0,181,1359,13.33,0,1372,264,10.01,6.5,17.47,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2009,1,NA,NA,3044,20965,5,11,208177,94250,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2009,1,NA,NA,329,3471,3,0,NA,NA,15.32,2.72,45.809999999999995,El Dorado County,06,017,06017
Fresno Sheriff's Department,2009,1,38,103,NA,NA,15,32,160693,44481,26.4,22.3,16.1,Fresno County,06,019,06019
Glenn Sheriff's Department,2009,1,0,0,7,79,6.14,0,33449,13144,NA,NA,NA,Glenn County,06,021,06021
Humboldt Sheriff's Department,2009,1,NA,NA,804,20382,NA,0,45308,26289,13,7,43,Humboldt County,06,023,06023
Imperial Sheriff's Department,2009,1,NA,NA,2325,37949,NA,1,47302,11634,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2009,1,0,NA,NA,NA,2,0,NA,NA,26,20,41,Inyo County,06,027,06027
Kern Sheriff's Department,2009,1,30,NA,5695,46646,17,8,102636,79811,19,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2009,1,NA,NA,602,2113,11,2,15656,14412,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2009,1,NA,NA,254,4073,NA,NA,25021,24762,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2009,1,NA,NA,200,1425,NA,0,41776,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2009,1,NA,NA,NA,NA,23,71,3952413,1677581,52.1,22.7,54.9,Los Angeles County,06,037,06037
Madera Corrections Department,2009,1,NA,NA,NA,NA,18,3,43154,18645,26,7,52,Madera County,06,039,06039
Marin Sheriff's Department,2009,1,NA,4,651,4208,21,3,14767,NA,15.3,10.2,35.6,Marin County,06,041,06041
Mariposa Sheriff's Department,2009,1,1,0,89,844,0,1,14752,10111,15,15,15,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2009,1,3,NA,535,4449,6,4,18231,161,15,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2009,1,5,9,3437,12862,9,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2009,1,0,0,186,434,0,0,8160,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2009,1,0,2,570,11271,7,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2009,1,NA,NA,2327,5226,NA,0,39266,37039,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2009,1,NA,NA,NA,NA,20,1,NA,NA,NA,NA,NA,Napa County,06,055,06055
Nevada Sheriff's Department,2009,1,NA,NA,NA,NA,NA,NA,21619,8976,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2009,1,16,29,26941,125727,18.7,9,1037264,700753,36.1,1.2,41.7,Orange County,06,059,06059
Santa Ana Police Department,2009,1,NA,NA,NA,NA,35.2,0,77301,20108,22.9,22.9,NA,Orange County,06,059,06059
Placer Sheriff's Department,2009,1,NA,NA,154,933,2.25,0,38095,13615,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2009,1,1,1,9,28,7.1,0,19994,NA,11.1,2.4,18.7,Plumas County,06,063,06063
Riverside Sheriff's Department,2009,1,NA,NA,17841,247966,13.04,6,NA,NA,57.27,17.38,73.26,Riverside County,06,065,06065
Sacramento Sheriff's Department,2009,1,60,108,6496,76967,9.27,38,NA,NA,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2009,1,1,0,262,1889,10,0,15436,8091,22,5,51,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2009,1,6,12,15265,164455,15.6,6,645413,276057,44,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2009,1,30,48,17851,24932,5,12,1118379,606556,19.8,5.2,77,San Diego County,06,073,06073
San Diego Work Furlough,2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2009,1,NA,NA,72,40,NA,19,665979,176208,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2009,1,5,10,NA,NA,4,NA,NA,NA,24,5,19,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2009,1,14,18,6162,57175,NA,0,80694,67123,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2009,1,33,83,2624,20518,13.2,NA,170979,89881,23.8,NA,NA,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2009,1,6,14,NA,NA,15,3,98369,68833,17,12,20,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2009,1,52.06,NA,NA,NA,NA,1,233916,118378,120,147,135,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2009,1,NA,NA,3270,14382,4,0,105759,75017,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2009,1,NA,NA,40,327,0,0,49028,29162,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2009,1,0,0,29,765,1,0,1257,900,4,2,3,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2009,1,0,2,NA,NA,1,1,NA,NA,33,8,27,Siskiyou County,06,093,06093
Solano Sheriff's Department,2009,1,2,15,7e3,6e3,1,1,141996,86963,19.4,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2009,1,5,8,1458,18636,14.7,10,94781,48534,22.1,4.4,52.4,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2009,1,26,NA,NA,NA,6,1,58520,28625,19,7,65,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2009,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2009,1,1,NA,NA,NA,15,2,52575,27878,13,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2009,1,NA,NA,NA,NA,11,0,4323,NA,22,6,51,Trinity County,06,105,06105
Tulare Sheriff's Department,2009,1,NA,NA,NA,NA,NA,0,NA,NA,35.64,14.79,53.98,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2009,1,1,4,334,1131,0,0,6623,1743,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2009,1,NA,NA,5082,49313,7.1499999999999995,4,135567,49942,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2009,1,NA,NA,NA,NA,NA,0,80,0,54,NA,59,Ventura County,06,111,06111
Yolo Sheriff's Department,2009,1,4,10,621,2046,NA,0,39802,24350,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2009,1,NA,NA,306,1140,45,1,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2008,4,53,114,2777,7806,5,30,606976,359749,25,20,69,Alameda County,06,001,06001
Amador Sheriff's Department,2008,4,NA,NA,226,4087,1,1,6423,2862,21.47,4.430000000000001,17.04,Amador County,06,005,06005
Butte Sheriff's Department,2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2008,4,NA,NA,NA,NA,12,0,6344,958,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2008,4,0,0,177,1333,12.2,0,2016,178,9.370000000000001,6.44,19.810000000000002,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2008,4,NA,NA,3153,20936,5,11,205386,95813,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2008,4,NA,NA,366,3595,3,0,NA,NA,26.7,3.7,62.6,El Dorado County,06,017,06017
Fresno Sheriff's Department,2008,4,37,89,NA,NA,11,36,293869,84351,24.5,19.5,26.1,Fresno County,06,019,06019
Glenn Sheriff's Department,2008,4,0,0,0,0,18,0,26049,1437,16.6,6,11,Glenn County,06,021,06021
Humboldt Sheriff's Department,2008,4,NA,NA,798,20356,NA,3,81943,58195,12.68,7.81,40.77,Humboldt County,06,023,06023
Imperial Sheriff's Department,2008,4,NA,NA,2296,38138,NA,1,25312,5543,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2008,4,0,0,NA,NA,3,0,NA,NA,27,13,57,Inyo County,06,027,06027
Kern Sheriff's Department,2008,4,30,NA,5637,46652,17,5,182539,133657,20,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2008,4,NA,NA,615,2073,12,0,17294,13479,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2008,4,NA,NA,259,3409,NA,NA,25405,20541,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2008,4,NA,NA,153,1326,NA,0,29e3,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2008,4,NA,NA,NA,NA,23,53,4050934,1674281,53.9,28.8,56.6,Los Angeles County,06,037,06037
Madera Corrections Department,2008,4,NA,NA,NA,NA,17,2,45737,20954,29,8,59,Madera County,06,039,06039
Marin Sheriff's Department,2008,4,NA,NA,NA,4270,21,4,29882,17190,19.6,14.4,39.5,Marin County,06,041,06041
Mariposa Sheriff's Department,2008,4,1,0,92,852,0,0,15929,9960,14,13,15,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2008,4,11,NA,504,4389,8,1,25170,812,17,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2008,4,4,7,3289,12544,10,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2008,4,0,0,188,444,0,0,8873,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2008,4,0,1,553,11190,3,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2008,4,NA,NA,7340,16374,NA,3,64315,30805,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2008,4,NA,NA,NA,NA,22,0,NA,NA,NA,NA,NA,Napa County,06,055,06055
Nevada Sheriff's Department,2008,4,NA,NA,NA,NA,NA,NA,19938,9685,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2008,4,25,33,26864,124453,19.4,20,1037264,700753,36.5,1.2,41.7,Orange County,06,059,06059
Santa Ana Police Department,2008,4,NA,NA,NA,NA,27,0,79732,16990,25,25,NA,Orange County,06,059,06059
Placer Sheriff's Department,2008,4,NA,NA,708,6180,3.06,2,49170,17468,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2008,4,0,2,5,59,6.1,1,10625,4248,8.1,4.1,12.8,Plumas County,06,063,06063
Riverside Sheriff's Department,2008,4,NA,NA,17826,247472,14.98,11,127919,82978,44.52,14.99,74.05,Riverside County,06,065,06065
Sacramento Sheriff's Department,2008,4,79,194,6570,80965,NA,NA,1434980,282470,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2008,4,0,0,254,1964,7,1,25103,21027,21,4,45,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2008,4,5,10,15305,163402,16.6,9,575345,257924,44.5,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2008,4,23,48,17932,25807,5,10,1131438,663148,20.2,5.9,74.9,San Diego County,06,073,06073
San Diego Work Furlough,2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2008,4,NA,NA,25,30,NA,25,725677,161341,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2008,4,6,11,NA,NA,4,NA,NA,NA,53,19,34,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2008,4,21,7,6072,56240,NA,0,80694,67123,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2008,4,39,83,2624,20949,12.7,5,181996,95752,21.7,14.2,30.4,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2008,4,2,20,2328,15151,16,3,98369,68833,17,12,22,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2008,4,53,NA,NA,NA,NA,5,443697,162450,113,137,131,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2008,4,NA,NA,2376,11732,2,0,101478,50111,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2008,4,NA,NA,69,540,NA,NA,56884,33166,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2008,4,0,0,26,755,0,0,760,0,3,2,1,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2008,4,1,3,NA,NA,4,0,NA,NA,31,7,25,Siskiyou County,06,093,06093
Solano Sheriff's Department,2008,4,4,17,7e3,6e3,1,4,162308,92952,21.9,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2008,4,5,11,1466,19975,14.5,8,138395,79584,21.2,3.5,53.9,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2008,4,35,NA,NA,NA,5,1,46102,30052,22,7,71,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2008,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2008,4,0,NA,NA,NA,15,0,36500,22630,13.9,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2008,4,NA,NA,NA,NA,2,0,11829,NA,20,6,39,Trinity County,06,105,06105
Tulare Sheriff's Department,2008,4,NA,NA,NA,NA,NA,1,NA,NA,52.28,35.339999999999996,66.03,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2008,4,1,1,338,1323,0,0,4192,4487,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2008,4,NA,NA,5098,49482,8.15,6,141267,55342,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2008,4,NA,NA,NA,NA,NA,0,133,0,61,NA,63,Ventura County,06,111,06111
Yolo Sheriff's Department,2008,4,3,8,710,2087,NA,0,56407,38105,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2008,4,NA,NA,304,1136,45,2,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2008,3,13,20,1334,15938,5,64,988369,561558,29,64,24,Alameda County,06,001,06001
Amador Sheriff's Department,2008,3,NA,NA,229,4033,0.13,0,6260,3567,15.06,9,17.67,Amador County,06,005,06005
Butte Sheriff's Department,2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2008,3,NA,NA,NA,NA,17,0,6344,958,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2008,3,0,0,173,1282,13.639999999999999,0,2022,735,8.5,6.13,17.610000000000003,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2008,3,NA,NA,3145,20762,5,5,245235,108781,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2008,3,NA,NA,372,3658,3,0,NA,NA,17.9,3.2,46.1,El Dorado County,06,017,06017
Fresno Sheriff's Department,2008,3,42,92,NA,NA,27,42,239464,82512,28.439999999999998,23.1,25.7,Fresno County,06,019,06019
Glenn Sheriff's Department,2008,3,1,0,NA,NA,15,0,21509,11830,27,5.7,32.7,Glenn County,06,021,06021
Humboldt Sheriff's Department,2008,3,NA,NA,829,20381,NA,3,78670,61011,13,8,40,Humboldt County,06,023,06023
Imperial Sheriff's Department,2008,3,NA,NA,2322,28941,NA,1,31665,5141,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2008,3,0,0,NA,NA,7.4,0,NA,NA,25.09,14.12,74.46000000000001,Inyo County,06,027,06027
Kern Sheriff's Department,2008,3,30,NA,5704,46053,17,6,199295,143011,21,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2008,3,NA,NA,600,2e3,14,0,5886,5489,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2008,3,NA,NA,255,3284,NA,NA,30268,13868,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2008,3,NA,NA,190,1213,NA,0,32744,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2008,3,NA,NA,NA,NA,23,62,4040152,1531242,51.6,23.8,54,Los Angeles County,06,037,06037
Madera Corrections Department,2008,3,NA,NA,NA,NA,21,0,36018,18847,NA,NA,NA,Madera County,06,039,06039
Marin Sheriff's Department,2008,3,1,3,662,4321,25,0,29882,17190,22.7,17.5,44.7,Marin County,06,041,06041
Mariposa Sheriff's Department,2008,3,2,2,93,804,0,0,9848,5692,15,13,14,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2008,3,8,NA,490,4302,4,7,22670,2521,18,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2008,3,4,8,3390,13073,11,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2008,3,0,0,186,434,0,0,7800,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2008,3,0,2,537,11043,4,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2008,3,NA,NA,2857,8100,NA,0,60704,27711,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2008,3,NA,NA,NA,NA,20,0,NA,NA,NA,15,20,Napa County,06,055,06055
Nevada Sheriff's Department,2008,3,NA,NA,NA,NA,NA,NA,21384,9376,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2008,3,25,37,26648,120940,19.7,5,992060,663926,36,1.2,39.6,Orange County,06,059,06059
Santa Ana Police Department,2008,3,NA,NA,NA,NA,39.5,0,68293,14130,19.6,19.6,90,Orange County,06,059,06059
Placer Sheriff's Department,2008,3,NA,NA,788,6085,5.2,1,67902,26431,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2008,3,1,4,3,41,4.9,1,9383,5030,6.1,3,10.3,Plumas County,06,063,06063
Riverside Sheriff's Department,2008,3,NA,NA,17900,248790,14.950000000000001,2,133890,118379,36.36,9.639999999999999,63.09,Riverside County,06,065,06065
Sacramento Sheriff's Department,2008,3,89,200,6546,79081,NA,NA,1240062,280714,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2008,3,2,0,252,1888,8,3,23968,20049,20,6,47,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2008,3,5,10,15264,162463,15.42,3,644802,286700,40,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2008,3,16,45,17982,25809,5,6,974725,628755,18.5,5.2,75.3,San Diego County,06,073,06073
San Diego Work Furlough,2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2008,3,NA,NA,29,23,NA,25,675658,120625,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2008,3,4,8,NA,NA,4,NA,NA,NA,23,46,19,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2008,3,14,9,6031,56042,NA,0,102643,83983,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2008,3,39,81,2587,20942,10.7,5,197852,111569,22.5,11.6,45.2,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2008,3,3,15,2326,17950,17,2,104733,66758,16,12,20,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2008,3,49,NA,NA,NA,NA,5,537462,299382,108,132,124,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2008,3,NA,NA,2411,14166,2,3,145697,128583,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2008,3,NA,NA,63,486,NA,NA,56884,33166,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2008,3,0,0,29,765,1,0,2899,1852,4,2,3,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2008,3,0,2,NA,NA,NA,3,NA,NA,27,9,23,Siskiyou County,06,093,06093
Solano Sheriff's Department,2008,3,3,15,7e3,6e3,1,3,123184,73533,18.5,NA,NA,Solano County,06,095,06095
Sonoma Sheriff's Department,2008,3,4,7,1459,20296,12,13,110009,48722,20.6,4.2,50.9,Sonoma County,06,097,06097
Stanislaus Sheriff's Department,2008,3,25,NA,NA,NA,7,1,39140,38515,21,7,67,Stanislaus County,06,099,06099
Sutter Sheriff's Department,2008,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sutter County,06,101,06101
Tehama Sheriff's Department,2008,3,1,NA,NA,NA,15,1,43383,31287,13,NA,NA,Tehama County,06,103,06103
Trinity Sheriff's Department,2008,3,NA,NA,NA,NA,3,0,17208,NA,23,4,59,Trinity County,06,105,06105
Tulare Sheriff's Department,2008,3,NA,NA,NA,NA,NA,0,NA,NA,49.1,27.650000000000002,69.89,Tulare County,06,107,06107
Tuolumne Sheriff's Department,2008,3,1,1,338,1680,0,0,5912,5276,NA,NA,NA,Tuolumne County,06,109,06109
Ventura Sheriff's Department,2008,3,NA,NA,5073,49003,7,3,146772,69311,NA,NA,NA,Ventura County,06,111,06111
Ventura Work Furlough,2008,3,NA,NA,NA,NA,NA,0,305,0,69,NA,74,Ventura County,06,111,06111
Yolo Sheriff's Department,2008,3,4,6,684,1958,NA,1,55927,31329,NA,NA,NA,Yolo County,06,113,06113
Yuba Sheriff's Department,2008,3,NA,NA,346,1211,45,0,NA,NA,NA,NA,NA,Yuba County,06,115,06115
Alameda Sheriff's Department,2008,2,16,29,2553,8956,5,41,331e3,179e3,25,21,58,Alameda County,06,001,06001
Amador Sheriff's Department,2008,2,NA,NA,221,4041,0.6,0,7710,4773,18.41,5.5,12.91,Amador County,06,005,06005
Butte Sheriff's Department,2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Butte County,06,007,06007
Calaveras Sheriff's Department,2008,2,NA,NA,NA,NA,22,0,7079,3276,NA,NA,NA,Calaveras County,06,009,06009
Colusa Sheriff's Department,2008,2,0,0,174,1246,11.9,0,4271,3065,8.7,5.25,19.66,Colusa County,06,011,06011
Contra Costa Sheriff's Department,2008,2,NA,NA,3149,20439,5,11,215993,111957,NA,NA,NA,Contra Costa County,06,013,06013
El Dorado Sheriff's Department,2008,2,NA,NA,357,3459,4,0,NA,NA,21.8,3.8,62.6,El Dorado County,06,017,06017
Fresno Sheriff's Department,2008,2,37,131,NA,NA,3,10,327721,117351,27,25,28,Fresno County,06,019,06019
Glenn Sheriff's Department,2008,2,1,0,NA,NA,15,0,24037,10288,9.44,4.25,14.62,Glenn County,06,021,06021
Humboldt Sheriff's Department,2008,2,NA,NA,824,20339,NA,1,60932,41597,13,8,43,Humboldt County,06,023,06023
Imperial Sheriff's Department,2008,2,NA,NA,2322,38941,NA,1,31665,5141,NA,NA,NA,Imperial County,06,025,06025
Inyo Sheriff's Department,2008,2,0,0,NA,NA,7.4,0,NA,NA,33.28,6.44,80.14,Inyo County,06,027,06027
Kern Sheriff's Department,2008,2,30,NA,5686,45407,17,2,164549,135398,20,NA,NA,Kern County,06,029,06029
Kings Sheriff's Department,2008,2,NA,NA,604,2148,16,3,11482,13383,NA,NA,NA,Kings County,06,031,06031
Lake Sheriff's Department,2008,2,NA,NA,243,4314,NA,NA,26811,11912,NA,NA,NA,Lake County,06,033,06033
Lassen Sheriff's Department,2008,2,NA,NA,250,1100,0,0,45e3,NA,NA,NA,NA,Lassen County,06,035,06035
Los Angeles Sheriff's Department,2008,2,NA,NA,NA,NA,23,73,3701182,1454885,53.5,25.04,56.309999999999995,Los Angeles County,06,037,06037
Madera Corrections Department,2008,2,NA,NA,NA,NA,7,4,36019,18847,24,8,46,Madera County,06,039,06039
Marin Sheriff's Department,2008,2,2,11,685,4486,30,0,42129,19217,18.5,13.5,40.3,Marin County,06,041,06041
Mariposa Sheriff's Department,2008,2,1,3,86,775,0,0,7749,3054,16,17,16,Mariposa County,06,043,06043
Mendocino Sheriff's Department,2008,2,8,NA,479,4408,6,2,16905,1862,18,NA,NA,Mendocino County,06,045,06045
Merced Sheriff's Department,2008,2,4,8,3631,12589,12,0,NA,NA,NA,NA,NA,Merced County,06,047,06047
Modoc Sheriff's Department,2008,2,0,0,187,440,0,0,9273,NA,NA,NA,NA,Modoc County,06,049,06049
Mono Sheriff's Department,2008,2,0,1,515,10783,5,0,NA,NA,NA,NA,NA,Mono County,06,051,06051
Monterey Sheriff's Department,2008,2,NA,NA,2749,7627,NA,4,70208,32264,NA,NA,NA,Monterey County,06,053,06053
Napa Corrections Department,2008,2,NA,NA,NA,NA,18,3,NA,NA,NA,14,17,Napa County,06,055,06055
Nevada Sheriff's Department,2008,2,NA,NA,NA,NA,NA,NA,24832,12295,NA,NA,NA,Nevada County,06,057,06057
Orange Sheriff's Department,2008,2,27,36,26205,119058,19.7,4,824689,586821,36.4,1.2,41.5,Orange County,06,059,06059
Santa Ana Police Department,2008,2,NA,NA,NA,NA,37.14,0,45826,13319,17,17,90,Orange County,06,059,06059
Placer Sheriff's Department,2008,2,NA,NA,959,5965,3.7600000000000002,1,46606,22630,NA,NA,NA,Placer County,06,061,06061
Plumas Sheriff's Department,2008,2,0,1,4,33,2.6,0,9533,1741,7.3,3.5,12.8,Plumas County,06,063,06063
Riverside Sheriff's Department,2008,2,NA,NA,17787,248112,14.870000000000001,16,176521,133890,39.63,5.72,73.54,Riverside County,06,065,06065
Sacramento Sheriff's Department,2008,2,104,192,5367,56273,NA,NA,1391169,291539,NA,NA,NA,Sacramento County,06,067,06067
San Benito Sheriff's Department,2008,2,1,0,252,2048,12,0,23506,18854,14,4,44,San Benito County,06,069,06069
San Bernardino Sheriff's Department,2008,2,5,10,15386,145300,17.03,10,822239,336050,46,NA,NA,San Bernardino County,06,071,06071
San Diego Sheriff's Department,2008,2,30,45,17914,26092,5,18,1082514,617328,19.9,5.4,79.1,San Diego County,06,073,06073
San Diego Work Furlough,2008,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,San Diego County,06,073,06073
San Francisco Sheriff's Department,2008,2,NA,NA,30,22,NA,22,682244,114995,NA,NA,NA,San Francisco County,06,075,06075
San Joaquin Sheriff's Department,2008,2,3,8,NA,NA,4,NA,NA,NA,18,48,18,San Joaquin County,06,077,06077
San Luis Obispo Sheriff's Department,2008,2,12,4,6165,57348,NA,0,135468,105473,NA,NA,NA,San Luis Obispo County,06,079,06079
San Mateo Sheriff's Department,2008,2,35,81,2563,21050,10.5,1,213088,99994,17,15,23,San Mateo County,06,081,06081
Santa Barbara Sheriff's Department,2008,2,13,2,2326,20334,17,1,113788,84777,23,9,54,Santa Barbara County,06,083,06083
Santa Clara Corrections Department,2008,2,43,NA,NA,NA,NA,3,653405,431240,107,132,129,Santa Clara County,06,085,06085
Santa Cruz Sheriff's Department,2008,2,NA,NA,2345,14337,2,1,137721,87838,NA,NA,NA,Santa Cruz County,06,087,06087
Shasta Sheriff's Department,2008,2,NA,NA,225,1327,NA,NA,NA,NA,NA,NA,NA,Shasta County,06,089,06089
Sierra Sheriff's Department,2008,2,0,0,27,749,0,0,2447,1764,2,1,1,Sierra County,06,091,06091
Siskiyou Sheriff's Department,2008,2,0,1,NA,NA,1,0,NA,NA,28,9,20,Siskiyou County,06,093,06093
