jurisdiction,year,month,census_county_name,fips_state_code,fips_county_code,fips_state_county_code,facility,avg_daily_pop_unsentenced_male,avg_daily_pop_unsentenced_female,avg_daily_pop_sentenced_male,avg_daily_pop_sentenced_female,avg_daily_pop_total_facility
Santa Barbara Sheriff's Department,2008,march,Santa Barbara County,06,083,06083,Santa Maria Branch Jail,15,1,12,0,28
Santa Clara Corrections Department,2008,march,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,1601,0,977,0,2578
Santa Clara Corrections Department,2008,march,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,0,350,0,200,550
Santa Clara Corrections Department,2008,march,Santa Clara County,06,085,06085,Santa Clara County Main Jail,1205,0,196,0,1401
Santa Cruz Sheriff's Department,2008,march,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,0,0,27,27
Santa Cruz Sheriff's Department,2008,march,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,173,21,99,18,311
Santa Cruz Sheriff's Department,2008,march,Santa Cruz County,06,087,06087,Santa Cruz Medium Security,0,0,33,0,33
Santa Cruz Sheriff's Department,2008,march,Santa Cruz County,06,087,06087,Santa Cruz Rountree Lane Minimum,0,0,123,0,123
Shasta Sheriff's Department,2008,march,Shasta County,06,089,06089,Shasta County Main Jail,223,24,72,13,332
Sierra Sheriff's Department,2008,march,Sierra County,06,091,06091,Sierra County Jail,4,1,2,1,8
Siskiyou Sheriff's Department,2008,march,Siskiyou County,06,093,06093,Siskiyou County Jail,72,7,10,4,93
Solano Sheriff's Department,2008,march,Solano County,06,095,06095,Claybank Facility,201,42,119,20,382
Solano Sheriff's Department,2008,march,Solano County,06,095,06095,Solano County Justice Center,491,68,83,21,663
Sonoma Sheriff's Department,2008,march,Sonoma County,06,097,06097,Sonoma Main Adult Detention,398,44,172,38,652
Sonoma Sheriff's Department,2008,march,Sonoma County,06,097,06097,Sonoma-North County Facility,106,29,233,31,399
Stanislaus Sheriff's Department,2008,march,Stanislaus County,06,099,06099,Stanislaus Co. Public Safety Center,359,95,112,103,669
Stanislaus Sheriff's Department,2008,march,Stanislaus County,06,099,06099,Stanislaus County Honor Farm,91,0,226,0,317
Stanislaus Sheriff's Department,2008,march,Stanislaus County,06,099,06099,Stanislaus County Jail,275,0,100,0,375
Sutter Sheriff's Department,2008,march,Sutter County,06,101,06101,Sutter County Jail,159,23,75,31,288
Tehama Sheriff's Department,2008,march,Tehama County,06,103,06103,Tehama County Jail,80,16,69,19,184
Trinity Sheriff's Department,2008,march,Trinity County,06,105,06105,Trinity Co. Detention Facility,15,4,24,2,45
Tulare Sheriff's Department,2008,march,Tulare County,06,107,06107,Bob Wiley Detention Facility,326,107,204,59,696
Tulare Sheriff's Department,2008,march,Tulare County,06,107,06107,Men's Correctional Facility,69,0,294,0,363
Tulare Sheriff's Department,2008,march,Tulare County,06,107,06107,Pre-Trial Facility,123,2,148,46,319
Tulare Sheriff's Department,2008,march,Tulare County,06,107,06107,Tulare County Jail,135,0,32,0,167
Tuolumne Sheriff's Department,2008,march,Tuolumne County,06,109,06109,Tuolumne County Jail,80,15,38,7,140
Ventura Sheriff's Department,2008,march,Ventura County,06,111,06111,Todd Road Jail,568,0,249,0,817
Ventura Sheriff's Department,2008,march,Ventura County,06,111,06111,Ventura County Main Jail,436,156,159,75,826
Ventura Work Furlough,2008,march,Ventura County,06,111,06111,Ventura County Work Furlough,0,0,95,25,120
Yolo Sheriff's Department,2008,march,Yolo County,06,113,06113,Leinberger Center,78,5,31,4,118
Yolo Sheriff's Department,2008,march,Yolo County,06,113,06113,Monroe Detention Center,231,41,24,7,303
Yuba Sheriff's Department,2008,march,Yuba County,06,115,06115,Yuba County Jail,301,53,69,18,441
Alameda Sheriff's Department,2008,june,Alameda County,06,001,06001,Glen Dyer Jail,551,7,102,0,660
Alameda Sheriff's Department,2008,june,Alameda County,06,001,06001,Santa Rita Jail,2643,280,655,130,3708
Amador Sheriff's Department,2008,june,Amador County,06,005,06005,Amador County Jail,45,13,30,8,96
Butte Sheriff's Department,2008,june,Butte County,06,007,06007,Butte County Jail,267,42,131,39,479
Calaveras Sheriff's Department,2008,june,Calaveras County,06,009,06009,Calaveras County Jail,47,4,21,4,76
Colusa Sheriff's Department,2008,june,Colusa County,06,011,06011,Colusa County Jail,29,1,14,0,44
Contra Costa Sheriff's Department,2008,june,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,63,0,63
Contra Costa Sheriff's Department,2008,june,Contra Costa County,06,013,06013,Martinez Detention Facility,426,3,222,2,653
Contra Costa Sheriff's Department,2008,june,Contra Costa County,06,013,06013,West County Detention Facility,438,116,153,40,747
Del Norte Sheriff's Department,2008,june,Del Norte County,06,015,06015,Del Norte County Jail,76,11,42,14,143
El Dorado Sheriff's Department,2008,june,El Dorado County,06,017,06017,El Dorado County Jail,101,8,109,11,229
El Dorado Sheriff's Department,2008,june,El Dorado County,06,017,06017,South Lake Tahoe Jail,52,8,48,8,116
Fresno Sheriff's Department,2008,june,Fresno County,06,019,06019,Fresno County Main Jail,578,10,158,2,748
Fresno Sheriff's Department,2008,june,Fresno County,06,019,06019,Fresno County Satellite Jail,0,0,133,0,133
Fresno Sheriff's Department,2008,june,Fresno County,06,019,06019,Fresno North Annex  Jail,883,0,288,0,1171
Fresno Sheriff's Department,2008,june,Fresno County,06,019,06019,Fresno South Annex Jail,133,185,29,133,480
Glenn Sheriff's Department,2008,june,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,62,6,31,6,105
Humboldt Sheriff's Department,2008,june,Humboldt County,06,023,06023,Humboldt Co. Corr. Facility,187,32,92,15,326
Imperial Sheriff's Department,2008,june,Imperial County,06,025,06025,Herbert Hughes Corr. Center,171,0,75,0,246
Imperial Sheriff's Department,2008,june,Imperial County,06,025,06025,Imperial Adult Regional Fac.,137,37,74,12,260
Inyo Sheriff's Department,2008,june,Inyo County,06,027,06027,Inyo County Jail,31,2,29,12,74
Kern Sheriff's Department,2008,june,Kern County,06,029,06029,Central Receiving Facility,100,27,21,7,155
Kern Sheriff's Department,2008,june,Kern County,06,029,06029,Lerdo Maximum/Medium,145,0,23,0,168
Kern Sheriff's Department,2008,june,Kern County,06,029,06029,Lerdo Minimum,531,31,214,63,839
Kern Sheriff's Department,2008,june,Kern County,06,029,06029,Lerdo Pre-Trial Facility,864,175,78,36,1153
Kings Sheriff's Department,2008,june,Kings County,06,031,06031,Kings County Jail Facility,194,21,108,38,361
Lake Sheriff's Department,2008,june,Lake County,06,033,06033,Lake County Hill Road Facility,125,26,71,18,240
Lassen Sheriff's Department,2008,june,Lassen County,06,035,06035,Lassen Adult Detention Facility,33,10,34,12,89
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA Century Reg. Det. Facility,0,1584,0,592,2176
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA Men's Central Jail,3432,0,1386,0,4818
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA North County Corr. Facility,2603,0,1190,0,3793
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA Pitchess East Facility,1331,0,486,0,1817
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA Pitchess North Facility,1103,0,430,0,1533
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA Pitchess South (No. Annex),556,0,708,0,1264
Los Angeles Sheriff's Department,2008,june,Los Angeles County,06,037,06037,LA Twin Towers Corr. Facility,2879,19,1031,4,3933
Madera Corrections Department,2008,june,Madera County,06,039,06039,Madera Adult Correctional Fac,242,43,113,22,420
Marin Sheriff's Department,2008,june,Marin County,06,041,06041,Marin County Jail,221,35,56,20,332
Mariposa Sheriff's Department,2008,june,Mariposa County,06,043,06043,Mariposa Co. Adult Det. Fac.,28,2,20,5,55
Mendocino Sheriff's Department,2008,june,Mendocino County,06,045,06045,Mendocino Adult Det. Facility,158,21,72,21,272
Merced Sheriff's Department,2008,june,Merced County,06,047,06047,John Latorraca Correctional Center,371,55,138,16,580
Merced Sheriff's Department,2008,june,Merced County,06,047,06047,Merced County Jail,124,10,36,0,170
Modoc Sheriff's Department,2008,june,Modoc County,06,049,06049,Modoc County Jail,14,2,5,2,23
Mono Sheriff's Department,2008,june,Mono County,06,051,06051,Mono County Jail,14,1,23,2,40
Monterey Sheriff's Department,2008,june,Monterey County,06,053,06053,Monterey County Jail,621,93,49,34,797
Monterey Sheriff's Department,2008,june,Monterey County,06,053,06053,Monterey County Rehabilitation,183,0,139,0,322
Napa Corrections Department,2008,june,Napa County,06,055,06055,Napa County Jail,149,16,62,11,238
Nevada Sheriff's Department,2008,june,Nevada County,06,057,06057,Wayne Brown Correctional Facility,123,41,52,9,225
Orange Sheriff's Department,2008,june,Orange County,06,059,06059,Intake Release Center,263,176,146,173,758
Orange Sheriff's Department,2008,june,Orange County,06,059,06059,James A Musick Facilities,265,59,495,92,911
Orange Sheriff's Department,2008,june,Orange County,06,059,06059,Orange County Mens Jail,801,0,463,0,1264
Orange Sheriff's Department,2008,june,Orange County,06,059,06059,Orange County Women's Jail,0,152,0,166,318
Orange Sheriff's Department,2008,june,Orange County,06,059,06059,Theo Lacy,1512,0,1212,0,2724
Santa Ana Police Department,2008,june,Orange County,06,059,06059,Santa Ana Police Facility,410,60,3,1,474
Placer Sheriff's Department,2008,june,Placer County,06,061,06061,Placer County Main Jail,316,43,58,10,427
Placer Sheriff's Department,2008,june,Placer County,06,061,06061,Placer County Minimum Security,7,3,121,26,157
Plumas Sheriff's Department,2008,june,Plumas County,06,063,06063,Plumas County Jail,25.810000000000002,1.06,8.26,3.55,39
Riverside Sheriff's Department,2008,june,Riverside County,06,065,06065,Blythe Jail,89,0,22,0,111
Riverside Sheriff's Department,2008,june,Riverside County,06,065,06065,Indio Jail,284,39,41,11,375
Riverside Sheriff's Department,2008,june,Riverside County,06,065,06065,Larry D. Smith Correctional Facility,544,64,244,81,933
Riverside Sheriff's Department,2008,june,Riverside County,06,065,06065,Robert Presley Detention Ctr.,823,132,125,32,1112
Riverside Sheriff's Department,2008,june,Riverside County,06,065,06065,Southwest Detention Center,912,6,198,0,1116
Sacramento Sheriff's Department,2008,june,Sacramento County,06,067,06067,Rio Cosumnes Correctional Ctr.,483,0,1393,0,1876
Sacramento Sheriff's Department,2008,june,Sacramento County,06,067,06067,Rio Cosumnes- Womens Facility,0,12,0,233,245
Sacramento Sheriff's Department,2008,june,Sacramento County,06,067,06067,Sacramento County Main Jail,1921,290,188,22,2421
San Benito Sheriff's Department,2008,june,San Benito County,06,069,06069,San Benito Adult Detention,67,7,46,6,126
San Bernardino Sheriff's Department,2008,june,San Bernardino County,06,071,06071,San Bernardino Central Detention Center,683,141,62,7,893
San Bernardino Sheriff's Department,2008,june,San Bernardino County,06,071,06071,San Bernardino County Glen Helen,192,75,756,197,1220
San Bernardino Sheriff's Department,2008,june,San Bernardino County,06,071,06071,San Bernardino High Desert Detention Center,620,0,74,0,694
San Bernardino Sheriff's Department,2008,june,San Bernardino County,06,071,06071,West Valley Detention Center,2138,350,212,43,2743
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,Descanso Detention Facility,45,0,231,0,276
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,East Mesa Reentry Facility,153,0,328,0,481
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,George Bailey Detention Facility,991,0,439,0,1430
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,Las Colinas Womens Detention,0,422,0,321,743
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,San Diego Central Detention,687,0,189,0,876
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,San Diego Facility #8,61,0,107,0,168
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,South Bay Regional Facility- Chula Vista,321,0,72,0,393
San Diego Sheriff's Department,2008,june,San Diego County,06,073,06073,Vista Facility,554,58,183,14,809
San Diego Work Furlough,2008,june,San Diego County,06,073,06073,Wk. Furlough/Corr. Alternative,0,0,172,63,235
San Francisco Sheriff's Department,2008,june,San Francisco County,06,075,06075,San Francisco County Jail #2,95,173,14,77,359
San Francisco Sheriff's Department,2008,june,San Francisco County,06,075,06075,San Francisco County Jail #3,303,0,62,0,365
San Francisco Sheriff's Department,2008,june,San Francisco County,06,075,06075,San Francisco County Jail #4,265,0,60,0,325
San Francisco Sheriff's Department,2008,june,San Francisco County,06,075,06075,San Francisco County Jail #5,680,0,235,0,915
San Joaquin Sheriff's Department,2008,june,San Joaquin County,06,077,06077,John J. Zunino Facility,720,99,180,36,1035
San Joaquin Sheriff's Department,2008,june,San Joaquin County,06,077,06077,San Joaquin County Honor Farm,42,10,378,76,506
San Luis Obispo Sheriff's Department,2008,june,San Luis Obispo County,06,079,06079,San Luis Obispo County Jail,199,26,174,47,446
San Luis Obispo Sheriff's Department,2008,june,San Luis Obispo County,06,079,06079,San Luis Obispo Honor Farm,0,0,51,0,51
San Mateo Sheriff's Department,2008,june,San Mateo County,06,081,06081,Maguire Correctional Facility,661,10,301,5,977
San Mateo Sheriff's Department,2008,june,San Mateo County,06,081,06081,Minimum Security Transitional Fac.,0,0,42,0,42
San Mateo Sheriff's Department,2008,june,San Mateo County,06,081,06081,Womens Correctional Center,0,78,0,55,133
San Mateo Sheriff's Department,2008,june,San Mateo County,06,081,06081,Womens Transitional Fac,0,0,3,0,3
Santa Barbara Sheriff's Department,2008,june,Santa Barbara County,06,083,06083,Medium Security Facility,92,22,138,19,271
Santa Barbara Sheriff's Department,2008,june,Santa Barbara County,06,083,06083,Santa Barbara County Main Jail,414,68,147,40,669
Santa Barbara Sheriff's Department,2008,june,Santa Barbara County,06,083,06083,Santa Maria Branch Jail,18,1,4,0,23
Santa Clara Corrections Department,2008,june,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,1518,0,1037,0,2555
Santa Clara Corrections Department,2008,june,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,0,392,0,219,611
Santa Clara Corrections Department,2008,june,Santa Clara County,06,085,06085,Santa Clara County Main Jail,1215,0,226,0,1441
Santa Cruz Sheriff's Department,2008,june,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,0,0,19,19
Santa Cruz Sheriff's Department,2008,june,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,150,21,107,20,298
Santa Cruz Sheriff's Department,2008,june,Santa Cruz County,06,087,06087,Santa Cruz Medium Security,0,0,40,0,40
Santa Cruz Sheriff's Department,2008,june,Santa Cruz County,06,087,06087,Santa Cruz Rountree Lane Minimum,0,0,111,0,111
Shasta Sheriff's Department,2008,june,Shasta County,06,089,06089,Shasta County Main Jail,214,37,73,11,335
Sierra Sheriff's Department,2008,june,Sierra County,06,091,06091,Sierra County Jail,1,1,1,0,3
Siskiyou Sheriff's Department,2008,june,Siskiyou County,06,093,06093,Siskiyou County Jail,62,8,12,2,84
Solano Sheriff's Department,2008,june,Solano County,06,095,06095,Claybank Facility,173,36,128,24,361
Solano Sheriff's Department,2008,june,Solano County,06,095,06095,Solano County Justice Center,471,70,81,16,638
Sonoma Sheriff's Department,2008,june,Sonoma County,06,097,06097,Sonoma Main Adult Detention,385,48,158,42,633
Sonoma Sheriff's Department,2008,june,Sonoma County,06,097,06097,Sonoma-North County Facility,101,21,219,41,382
Stanislaus Sheriff's Department,2008,june,Stanislaus County,06,099,06099,Stanislaus Co. Public Safety Center,364,98,114,97,673
Stanislaus Sheriff's Department,2008,june,Stanislaus County,06,099,06099,Stanislaus County Honor Farm,100,0,233,0,333
Stanislaus Sheriff's Department,2008,june,Stanislaus County,06,099,06099,Stanislaus County Jail,276,0,86,0,362
Sutter Sheriff's Department,2008,june,Sutter County,06,101,06101,Sutter County Jail,156,22,47,28,253
Tehama Sheriff's Department,2008,june,Tehama County,06,103,06103,Tehama County Jail,73,13,63,23,172
Trinity Sheriff's Department,2008,june,Trinity County,06,105,06105,Trinity Co. Detention Facility,16,5,23,2,46
Tulare Sheriff's Department,2008,june,Tulare County,06,107,06107,Bob Wiley Detention Facility,335,104,199,62,700
Tulare Sheriff's Department,2008,june,Tulare County,06,107,06107,Men's Correctional Facility,60,0,290,0,350
Tulare Sheriff's Department,2008,june,Tulare County,06,107,06107,Pre-Trial Facility,62,0,132,46,240
Tulare Sheriff's Department,2008,june,Tulare County,06,107,06107,Tulare County Jail,185,0,79,0,264
Tuolumne Sheriff's Department,2008,june,Tuolumne County,06,109,06109,Tuolumne County Jail,66,16,48,9,139
Ventura Sheriff's Department,2008,june,Ventura County,06,111,06111,Todd Road Jail,574,0,259,0,833
Ventura Sheriff's Department,2008,june,Ventura County,06,111,06111,Ventura County Main Jail,444,164,161,76,845
Ventura Work Furlough,2008,june,Ventura County,06,111,06111,Ventura County Work Furlough,0,0,97,24,121
Yolo Sheriff's Department,2008,june,Yolo County,06,113,06113,Leinberger Center,72,0,57,0,129
Yolo Sheriff's Department,2008,june,Yolo County,06,113,06113,Monroe Detention Center,216,46,27,15,304
Yuba Sheriff's Department,2008,june,Yuba County,06,115,06115,Yuba County Jail,296,51,50,10,407
Alameda Sheriff's Department,2008,july,Alameda County,06,001,06001,Glen Dyer Jail,563,11,84,0,658
Alameda Sheriff's Department,2008,july,Alameda County,06,001,06001,Santa Rita Jail,2625,275,682,132,3714
Amador Sheriff's Department,2008,july,Amador County,06,005,06005,Amador County Jail,38,9,34,12,93
Butte Sheriff's Department,2008,july,Butte County,06,007,06007,Butte County Jail,269,54,135,32,490
Calaveras Sheriff's Department,2008,july,Calaveras County,06,009,06009,Calaveras County Jail,39,7,29,1,76
Colusa Sheriff's Department,2008,july,Colusa County,06,011,06011,Colusa County Jail,26,1,17,0,44
Contra Costa Sheriff's Department,2008,july,Contra Costa County,06,013,06013,Marsh Creek Detention Facility,0,0,51,0,51
Contra Costa Sheriff's Department,2008,july,Contra Costa County,06,013,06013,Martinez Detention Facility,487,3,155,0,645
Contra Costa Sheriff's Department,2008,july,Contra Costa County,06,013,06013,West County Detention Facility,485,109,161,41,796
Del Norte Sheriff's Department,2008,july,Del Norte County,06,015,06015,Del Norte County Jail,77,10,40,13,140
El Dorado Sheriff's Department,2008,july,El Dorado County,06,017,06017,El Dorado County Jail,107,12,85,13,217
El Dorado Sheriff's Department,2008,july,El Dorado County,06,017,06017,South Lake Tahoe Jail,62,9,40,12,123
Fresno Sheriff's Department,2008,july,Fresno County,06,019,06019,Fresno County Main Jail,669,12,168,1,850
Fresno Sheriff's Department,2008,july,Fresno County,06,019,06019,Fresno County Satellite Jail,0,0,103,0,103
Fresno Sheriff's Department,2008,july,Fresno County,06,019,06019,Fresno North Annex  Jail,1027,0,374,0,1401
Fresno Sheriff's Department,2008,july,Fresno County,06,019,06019,Fresno South Annex Jail,122,215,39,149,525
Glenn Sheriff's Department,2008,july,Glenn County,06,021,06021,Glenn Co Adult Detention Fac,63,8,24,6,101
Humboldt Sheriff's Department,2008,july,Humboldt County,06,023,06023,Humboldt Co. Corr. Facility,196,29,89,13,327
Imperial Sheriff's Department,2008,july,Imperial County,06,025,06025,Herbert Hughes Corr. Center,173,0,69,0,242
Imperial Sheriff's Department,2008,july,Imperial County,06,025,06025,Imperial Adult Regional Fac.,138,36,58,14,246
Inyo Sheriff's Department,2008,july,Inyo County,06,027,06027,Inyo County Jail,34,4,33,11,82
Kern Sheriff's Department,2008,july,Kern County,06,029,06029,Central Receiving Facility,95,28,21,5,149
Kern Sheriff's Department,2008,july,Kern County,06,029,06029,Lerdo Maximum/Medium,132,0,32,0,164
Kern Sheriff's Department,2008,july,Kern County,06,029,06029,Lerdo Minimum,506,28,216,62,812
Kern Sheriff's Department,2008,july,Kern County,06,029,06029,Lerdo Pre-Trial Facility,863,162,59,45,1129
Kings Sheriff's Department,2008,july,Kings County,06,031,06031,Kings County Jail Facility,195,28,108,29,360
Lake Sheriff's Department,2008,july,Lake County,06,033,06033,Lake County Hill Road Facility,114,21,72,22,229
Lassen Sheriff's Department,2008,july,Lassen County,06,035,06035,Lassen Adult Detention Facility,36,13,42,17,108
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA Century Reg. Det. Facility,0,1660,0,581,2241
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA Men's Central Jail,3393,0,1426,0,4819
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA North County Corr. Facility,2450,0,1291,0,3741
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA Pitchess East Facility,1365,0,453,0,1818
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA Pitchess North Facility,1168,0,380,0,1548
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA Pitchess South (No. Annex),603,0,780,0,1383
Los Angeles Sheriff's Department,2008,july,Los Angeles County,06,037,06037,LA Twin Towers Corr. Facility,2808,15,992,4,3819
Madera Corrections Department,2008,july,Madera County,06,039,06039,Madera Adult Correctional Fac,191,36,175,22,424
Marin Sheriff's Department,2008,july,Marin County,06,041,06041,Marin County Jail,225,33,57,16,331
Mariposa Sheriff's Department,2008,july,Mariposa County,06,043,06043,Mariposa Co. Adult Det. Fac.,25,3,22,4,54
Mendocino Sheriff's Department,2008,july,Mendocino County,06,045,06045,Mendocino Adult Det. Facility,154,24,61,18,257
Merced Sheriff's Department,2008,july,Merced County,06,047,06047,John Latorraca Correctional Center,367,52,152,16,587
Merced Sheriff's Department,2008,july,Merced County,06,047,06047,Merced County Jail,125,10,40,1,176
Modoc Sheriff's Department,2008,july,Modoc County,06,049,06049,Modoc County Jail,17,2,5,1,25
Mono Sheriff's Department,2008,july,Mono County,06,051,06051,Mono County Jail,16,2,17,1,36
Monterey Sheriff's Department,2008,july,Monterey County,06,053,06053,Monterey County Jail,605,89,47,39,780
Monterey Sheriff's Department,2008,july,Monterey County,06,053,06053,Monterey County Rehabilitation,186,0,153,0,339
Napa Corrections Department,2008,july,Napa County,06,055,06055,Napa County Jail,140,18,70,13,241
Nevada Sheriff's Department,2008,july,Nevada County,06,057,06057,Wayne Brown Correctional Facility,113,39,47,9,208
Orange Sheriff's Department,2008,july,Orange County,06,059,06059,Intake Release Center,275,180,130,180,765
Orange Sheriff's Department,2008,july,Orange County,06,059,06059,James A Musick Facilities,242,56,504,100,902
Orange Sheriff's Department,2008,july,Orange County,06,059,06059,Orange County Mens Jail,834,0,468,0,1302
Orange Sheriff's Department,2008,july,Orange County,06,059,06059,Orange County Women's Jail,0,153,0,178,331
Orange Sheriff's Department,2008,july,Orange County,06,059,06059,Theo Lacy,1566,0,1157,0,2723
Santa Ana Police Department,2008,july,Orange County,06,059,06059,Santa Ana Police Facility,403,57,4,1,465
Placer Sheriff's Department,2008,july,Placer County,06,061,06061,Placer County Main Jail,316,42,58,10,426
Placer Sheriff's Department,2008,july,Placer County,06,061,06061,Placer County Minimum Security,8,3,121,26,158
Plumas Sheriff's Department,2008,july,Plumas County,06,063,06063,Plumas County Jail,23,1,9,4,37
Riverside Sheriff's Department,2008,july,Riverside County,06,065,06065,Blythe Jail,90,0,17,0,107
Riverside Sheriff's Department,2008,july,Riverside County,06,065,06065,Indio Jail,282,39,33,9,363
Riverside Sheriff's Department,2008,july,Riverside County,06,065,06065,Larry D. Smith Correctional Facility,546,62,246,86,940
Riverside Sheriff's Department,2008,july,Riverside County,06,065,06065,Robert Presley Detention Ctr.,825,134,139,26,1124
Riverside Sheriff's Department,2008,july,Riverside County,06,065,06065,Southwest Detention Center,925,6,195,0,1126
Sacramento Sheriff's Department,2008,july,Sacramento County,06,067,06067,Rio Cosumnes Correctional Ctr.,476,0,1437,0,1913
Sacramento Sheriff's Department,2008,july,Sacramento County,06,067,06067,Rio Cosumnes- Womens Facility,0,12,0,219,231
Sacramento Sheriff's Department,2008,july,Sacramento County,06,067,06067,Sacramento County Main Jail,1956,305,192,25,2478
San Benito Sheriff's Department,2008,july,San Benito County,06,069,06069,San Benito Adult Detention,73,7,34,7,121
San Bernardino Sheriff's Department,2008,july,San Bernardino County,06,071,06071,San Bernardino Central Detention Center,711,140,63,8,922
San Bernardino Sheriff's Department,2008,july,San Bernardino County,06,071,06071,San Bernardino County Glen Helen,208,80,776,207,1271
San Bernardino Sheriff's Department,2008,july,San Bernardino County,06,071,06071,San Bernardino High Desert Detention Center,617,0,75,0,692
San Bernardino Sheriff's Department,2008,july,San Bernardino County,06,071,06071,West Valley Detention Center,2137,318,181,42,2678
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,Descanso Detention Facility,62,0,244,0,306
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,East Mesa Reentry Facility,145,0,306,0,451
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,George Bailey Detention Facility,995,0,424,0,1419
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,Las Colinas Womens Detention,0,429,0,306,735
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,San Diego Central Detention,683,0,182,0,865
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,San Diego Facility #8,61,0,107,0,168
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,South Bay Regional Facility- Chula Vista,329,0,74,0,403
San Diego Sheriff's Department,2008,july,San Diego County,06,073,06073,Vista Facility,561,60,180,15,816
San Diego Work Furlough,2008,july,San Diego County,06,073,06073,Wk. Furlough/Corr. Alternative,2,0,196,62,260
San Francisco Sheriff's Department,2008,july,San Francisco County,06,075,06075,San Francisco County Jail #2,100,181,8,72,361
San Francisco Sheriff's Department,2008,july,San Francisco County,06,075,06075,San Francisco County Jail #3,299,0,52,0,351
San Francisco Sheriff's Department,2008,july,San Francisco County,06,075,06075,San Francisco County Jail #4,266,0,57,0,323
San Francisco Sheriff's Department,2008,july,San Francisco County,06,075,06075,San Francisco County Jail #5,662,0,212,0,874
San Joaquin Sheriff's Department,2008,july,San Joaquin County,06,077,06077,John J. Zunino Facility,716,94,183,31,1024
San Joaquin Sheriff's Department,2008,july,San Joaquin County,06,077,06077,San Joaquin County Honor Farm,45,7,376,84,512
San Luis Obispo Sheriff's Department,2008,july,San Luis Obispo County,06,079,06079,San Luis Obispo County Jail,188,29,175,38,430
San Luis Obispo Sheriff's Department,2008,july,San Luis Obispo County,06,079,06079,San Luis Obispo Honor Farm,0,0,50,0,50
San Mateo Sheriff's Department,2008,july,San Mateo County,06,081,06081,Maguire Correctional Facility,656,11,295,7,969
San Mateo Sheriff's Department,2008,july,San Mateo County,06,081,06081,Minimum Security Transitional Fac.,0,0,40,0,40
San Mateo Sheriff's Department,2008,july,San Mateo County,06,081,06081,Womens Correctional Center,0,76,0,53,129
San Mateo Sheriff's Department,2008,july,San Mateo County,06,081,06081,Womens Transitional Fac,0,0,2,0,2
Santa Barbara Sheriff's Department,2008,july,Santa Barbara County,06,083,06083,Medium Security Facility,93,20,120,22,255
Santa Barbara Sheriff's Department,2008,july,Santa Barbara County,06,083,06083,Santa Barbara County Main Jail,418,72,151,44,685
Santa Barbara Sheriff's Department,2008,july,Santa Barbara County,06,083,06083,Santa Maria Branch Jail,23,1,4,0,28
Santa Clara Corrections Department,2008,july,Santa Clara County,06,085,06085,Elmwood Complex - Men's facility,1513,0,1083,0,2596
Santa Clara Corrections Department,2008,july,Santa Clara County,06,085,06085,Elmwood Complex - Women's Facility,0,402,0,217,619
Santa Clara Corrections Department,2008,july,Santa Clara County,06,085,06085,Santa Clara County Main Jail,1246,0,227,0,1473
Santa Cruz Sheriff's Department,2008,july,Santa Cruz County,06,087,06087,Santa Cruz Blaine Womens Min,0,0,0,19,19
Santa Cruz Sheriff's Department,2008,july,Santa Cruz County,06,087,06087,Santa Cruz Main Jail,174,19,105,15,313
